condition,poi_number,mean_time_seconds,median_time_seconds,mean_recoveries,mean_aborts,n
With Detection,1.0,42.93333333333333,37.5,0.3,0.06666666666666667,30
With Detection,2.0,86.73333333333333,79.0,0.43333333333333335,0.13333333333333333,30
With Detection,3.0,70.26666666666667,54.5,0.8,0.1,30
With Detection,4.0,128.93333333333334,123.0,10.7,0.4,30
With Detection,5.0,67.0,59.0,0.7,0.06666666666666667,30
Without Detection,1.0,53.63333333333333,55.5,2.1333333333333333,0.1,30
Without Detection,2.0,63.733333333333334,57.0,8.5,0.3333333333333333,30
Without Detection,3.0,178.26666666666668,169.5,51.93333333333333,2.7,30
Without Detection,4.0,104.4,102.5,12.2,0.26666666666666666,30
Without Detection,5.0,64.8,61.0,1.0,0.2,30
