poi_name,poi_number,time_mmss,recoveries,aborts
sala_delle_guardie,1,00:52,0,0
sala_guidobono,2,01:20,0,0
sala_delle_feste,3,02:07,0,0
sala_4_stagioni,4,02:29,1,0
camera_di_madama_reale,5,01:04,0,0
TOTAL,,07:55,,
############## END ##############
sala_delle_guardie,1,01:04,2,1
sala_guidobono,2,01:12,2,1
sala_delle_feste,3,01:54,1,0
sala_4_stagioni,4,02:25,1,0
camera_di_madama_reale,5,01:01,0,0
TOTAL,,07:40,,
############## END ##############
sala_delle_guardie,1,01:05,5,1
sala_guidobono,2,01:33,1,1
sala_delle_feste,3,01:16,0,0
sala_4_stagioni,4,02:30,1,0
camera_di_madama_reale,5,01:26,0,0
TOTAL,,07:53,,
############## END ##############
sala_delle_guardie,1,00:53,0,0
sala_guidobono,2,01:49,0,0
sala_delle_feste,3,01:18,0,0
sala_4_stagioni,4,02:33,1,0
camera_di_madama_reale,5,01:37,0,0
TOTAL,,08:14,,
############## END ##############
sala_delle_guardie,1,00:52,0,0
sala_guidobono,2,01:52,1,0
sala_delle_feste,3,01:16,0,0
sala_4_stagioni,4,02:26,1,1
camera_di_madama_reale,5,01:26,0,0
TOTAL,,07:56,,
############## END ##############
sala_delle_guardie,1,00:47,0,0
sala_guidobono,2,01:21,1,0
sala_delle_feste,3,02:05,0,0
sala_4_stagioni,4,02:29,1,1
camera_di_madama_reale,5,01:44,5,0
TOTAL,,08:30,,
############## END ##############
sala_delle_guardie,1,00:55,0,0
sala_guidobono,2,01:24,1,1
sala_delle_feste,3,02:38,8,0
sala_4_stagioni,4,02:02,1,1
camera_di_madama_reale,5,02:08,5,0
TOTAL,,09:11,,
############## END ##############
sala_delle_guardie,1,00:59,0,0
sala_guidobono,2,02:09,4,0
sala_delle_feste,3,01:24,0,0
sala_4_stagioni,4,02:53,4,0
camera_di_madama_reale,5,01:31,0,0
TOTAL,,09:00,,
############## END ##############
sala_delle_guardie,1,00:39,0,0
sala_guidobono,2,01:19,0,0
sala_delle_feste,3,00:55,0,0
sala_4_stagioni,4,01:49,4,0
camera_di_madama_reale,5,01:00,0,0
TOTAL,,05:44,,
############## END ##############
sala_delle_guardie,1,00:43,0,0
sala_guidobono,2,03:06,0,0
sala_delle_feste,3,00:56,0,0
sala_4_stagioni,4,02:10,9,0
camera_di_madama_reale,5,01:05,7,1
TOTAL,,08:02,,
############## END ##############
sala_delle_guardie,1,00:36,0,0
sala_guidobono,2,01:17,0,0
sala_delle_feste,3,00:54,0,0
sala_4_stagioni,4,02:27,35,1
camera_di_madama_reale,5,00:58,0,0
TOTAL,,06:15,,
############## END ##############
sala_delle_guardie,1,00:38,0,0
sala_guidobono,2,01:29,0,0
sala_delle_feste,3,00:54,0,0
sala_4_stagioni,4,02:47,39,1
camera_di_madama_reale,5,00:59,0,0
TOTAL,,06:48,,
############## END ##############
sala_delle_guardie,1,00:37,0,0
sala_guidobono,2,01:19,0,0
sala_delle_feste,3,00:54,0,0
sala_4_stagioni,4,02:20,25,0
camera_di_madama_reale,5,00:58,0,0
TOTAL,,06:09,,
############## END ##############
sala_delle_guardie,1,00:36,0,0
sala_guidobono,2,01:17,0,0
sala_delle_feste,3,01:11,4,1
sala_4_stagioni,4,02:19,29,0
camera_di_madama_reale,5,00:58,0,0
TOTAL,,06:24,,
############## END ##############
sala_delle_guardie,1,00:36,0,0
sala_guidobono,2,01:18,0,0
sala_delle_feste,3,00:54,0,0
sala_4_stagioni,4,02:52,44,2
camera_di_madama_reale,5,00:59,0,0
TOTAL,,06:41,,
############## END ##############
sala_delle_guardie,1,00:37,0,0
sala_guidobono,2,01:18,0,0
sala_delle_feste,3,00:54,0,0
sala_4_stagioni,4,01:53,4,0
camera_di_madama_reale,5,00:58,0,0
TOTAL,,05:43,,
############## END ##############
sala_delle_guardie,1,00:35,0,0
sala_guidobono,2,01:18,0,0
sala_delle_feste,3,00:54,0,0
sala_4_stagioni,4,01:44,4,0
camera_di_madama_reale,5,00:58,2,1
TOTAL,,05:31,,
############## END ##############
sala_delle_guardie,1,00:37,0,0
sala_guidobono,2,01:17,1,0
sala_delle_feste,3,00:54,0,0
sala_4_stagioni,4,01:47,4,0
camera_di_madama_reale,5,00:59,0,0
TOTAL,,05:35,,
############## END ##############
sala_delle_guardie,1,00:37,0,0
sala_guidobono,2,01:16,0,0
sala_delle_feste,3,00:57,1,0
sala_4_stagioni,4,02:02,10,0
camera_di_madama_reale,5,00:58,1,0
TOTAL,,05:52,,
############## END ##############
sala_delle_guardie,1,00:37,0,0
sala_guidobono,2,01:19,0,0
sala_delle_feste,3,00:53,0,0
