poi_name,poi_number,time_mmss,recoveries,aborts
sala_delle_guardie,1,00:57,1,0
sala_guidobono,2,00:57,1,0
sala_delle_feste,3,01:45,1,1
sala_4_stagioni,4,02:24,4,0
camera_di_madama_reale,5,01:09,0,0
TOTAL,,07:16,,
############## END ##############
sala_delle_guardie,1,00:57,2,0
sala_guidobono,2,01:26,31,2
sala_delle_feste,3,02:01,1,0
sala_4_stagioni,4,01:35,2,0
camera_di_madama_reale,5,01:09,0,0
TOTAL,,07:12,,
############## END ##############
sala_delle_guardie,1,01:00,3,1
sala_guidobono,2,01:52,54,1
sala_delle_feste,3,02:28,6,0
sala_4_stagioni,4,01:41,4,0
camera_di_madama_reale,5,01:10,0,0
TOTAL,,08:15,,
############## END ##############
sala_delle_guardie,1,00:59,0,0
sala_guidobono,2,01:11,4,1
sala_delle_feste,3,02:31,38,1
sala_4_stagioni,4,01:56,12,1
camera_di_madama_reale,5,01:11,0,0
TOTAL,,07:52,,
############## END ##############
sala_delle_guardie,1,01:11,4,0
sala_guidobono,2,01:01,4,0
sala_delle_feste,3,02:39,39,1
sala_4_stagioni,4,01:49,9,1
camera_di_madama_reale,5,01:19,4,0
TOTAL,,08:03,,
############## END ##############
sala_delle_guardie,1,00:56,0,0
sala_guidobono,2,01:04,4,0
sala_delle_feste,3,02:27,14,2
sala_4_stagioni,4,01:46,4,0
camera_di_madama_reale,5,01:20,4,1
TOTAL,,07:37,,
############## END ##############
sala_delle_guardie,1,00:55,0,0
sala_guidobono,2,01:11,9,0
sala_delle_feste,3,03:10,39,2
sala_4_stagioni,4,02:27,29,0
camera_di_madama_reale,5,01:11,0,0
TOTAL,,08:58,,
############## END ##############
sala_delle_guardie,1,00:59,0,0
sala_guidobono,2,00:56,0,0
sala_delle_feste,3,03:46,63,3
sala_4_stagioni,4,01:47,9,0
camera_di_madama_reale,5,01:18,4,1
TOTAL,,08:50,,
############## END ##############
sala_delle_guardie,1,00:58,0,0
sala_guidobono,2,01:10,10,0
sala_delle_feste,3,03:54,59,1
sala_4_stagioni,4,01:52,9,1
camera_di_madama_reale,5,01:12,0,0
TOTAL,,09:09,,
############## END ##############
sala_delle_guardie,1,00:59,0,0
sala_guidobono,2,00:55,0,0
sala_delle_feste,3,02:13,24,1
sala_4_stagioni,4,02:18,19,0
camera_di_madama_reale,5,01:11,0,0
TOTAL,,07:40,,
############## END ##############
sala_delle_guardie,1,01:01,0,0
sala_guidobono,2,01:14,9,1
sala_delle_feste,3,03:09,59,1
sala_4_stagioni,4,01:44,4,0
camera_di_madama_reale,5,01:14,0,0
TOTAL,,08:26,,
############## END ##############
